Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
A1,155.3,74,340,673,456,111,115,106,244,39.8,65440
A2,162.2,79.5,247,639,283,113,118,107,263,38.8,60440
A3,112.5,68,198,430,266,98,105,91,230,38.1,56575
A4,90.1,66,150,360,201.2,120,131,109,259,34.8,32495
A5,99.4,77,150,310,201.2,97,102,90,260,36.4,45635
A6,89.5,40,110,320,147.5,111,123,99,226,34.8,28425
A7,124.3,95,125,247,187.7,78,78,77,222,40,84595
A8,155.3,79.2,160,300,214.6,79,79,80,227,38.4,105150
A9,162.2,100,205,420,502.9,120,124,115,402,40.3,96440
A10,96.3,39.2,100,395,134.1,120,132,108,258,34.8,35245
A11,162.2,100,205,420,502.9,98,103,93,371,40.8,127940
A12,102.5,38.3,101,295,136.1,133,145,121,170,34.8,34250
Type,1,1,1,1,1,1,1,1,1,-1,-1
