,1,2,3,4,5,6,7,8,9,10,11,12
$A_{1}$,0.2336,0.2566,0.1847,0.1303,0.0493,0.0531,0.0236,0.0486,0.0164,0.0038,0.0,0.0
$A_{2}$,0.2218,0.3457,0.221,0.1212,0.0454,0.0381,0.0068,0.0,0.0,0.0,0.0,0.0
$A_{3}$,0.0,0.0089,0.0248,0.0715,0.2903,0.1403,0.158,0.1388,0.1588,0.0086,0.0,0.0
$A_{4}$,0.1139,0.0692,0.0742,0.1356,0.1642,0.2322,0.0794,0.0362,0.032,0.0327,0.0304,0.0
$A_{5}$,0.0004,0.0114,0.0144,0.0219,0.0805,0.1024,0.2563,0.1411,0.1273,0.2234,0.0209,0.0
$A_{6}$,0.0,0.0003,0.01,0.0507,0.0268,0.0368,0.1308,0.1109,0.1573,0.1661,0.1325,0.1778
$A_{7}$,0.0,0.0,0.0001,0.0015,0.0061,0.0303,0.0314,0.0309,0.0867,0.0807,0.0889,0.6434
$A_{8}$,0.0,0.0016,0.0008,0.0056,0.0618,0.0422,0.0547,0.1433,0.0819,0.124,0.4436,0.0405
$A_{9}$,0.3804,0.104,0.2814,0.0415,0.0317,0.0284,0.0224,0.0185,0.0671,0.0246,0.0,0.0
$A_{10}$,0.0093,0.0432,0.0737,0.0678,0.0826,0.1671,0.0967,0.0758,0.1391,0.1384,0.0944,0.0119
$A_{11}$,0.0,0.1054,0.0779,0.2954,0.0692,0.0521,0.0577,0.0902,0.0272,0.0785,0.1065,0.0399
$A_{12}$,0.0406,0.0537,0.037,0.057,0.0921,0.077,0.0822,0.1657,0.1062,0.1192,0.0828,0.0865
