,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$,$C_{11}$
$A_{1}$,0.08149258780275177,0.06923063446544006,0.16539466341358622,0.12398888021873616,0.12537637958922696,0.07419473303809192,0.07076788905601401,0.07737366929434679,0.057474302412452084,0.05356369500362399,0.10114256570573006
$A_{2}$,0.12038105475979202,0.08764048230128121,0.07660281840778414,0.12574607311204458,0.05720307945243896,0.0806882775550099,0.07950860005600449,0.08105271808792865,0.0710728509937187,0.11094341250709619,0.10916063276690109
$A_{3}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{4}$,0.0439411412269504,0.08181732204310924,0.06502948711785592,0.055917552901565096,0.0669235595112236,0.08677543507793362,0.08937944176936635,0.08104627822773469,0.08204172312814885,0.2125638835839456,0.13456417541216673
$A_{5}$,0.02021529457604862,0.31188130734918884,0.009518676427058882,0.018356351073732936,0.08827669666757966,0.04085282361090218,0.028546145769598887,0.0171898576280174,0.04566248450317305,0.1983866279599678,0.22111373443473167
$A_{6}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{7}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{8}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{9}$,0.09491701707030739,0.11506937488072184,0.0659536455545521,0.06333551707606894,0.10674522319496656,0.10423651858738235,0.09943361654361814,0.10459886736900796,0.13114497030934774,0.055236384477609535,0.0593288649364174
$A_{10}$,0.05193981102376379,0.027417790032211863,0.033811874056840406,0.1551683897499285,0.03657905048290103,0.07601885641611668,0.13215871190988152,0.07595219335122966,0.07713431266489167,0.23319626629619206,0.10062274401604297
$A_{11}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{12}$,0.07842307502671954,0.03762886470882343,0.04228020215736445,0.0465191327543591,0.041440877254519205,0.15055304666635394,0.14743620828303325,0.14598460019708615,0.03919085700588104,0.15319439910101526,0.11734873684484456
